Alternative,Criterion1,Criterion2,Criterion3,Criterion4,Criterion5,Criterion6
M1,0.10370370370370371,0.0,0.17527942143326758,0.8065854907035828,67,0.15503875968992248
M2,0.06666666666666667,0.0,0.15954934898468595,0.813194215297699,6,0.04186046511627907
M3,0.10204081632653061,0.0,0.14705882352941177,0.8248723745346069,35,0.10542635658914729
M4,0.058823529411764705,0.0,0.15572016460905352,0.8175168633460999,2,0.05426356589147287
M5,0.10294117647058824,0.0,0.1853290985268279,0.8073922991752625,69,0.15813953488372093
