Alternative,Criterion1,Criterion2,Criterion3,Criterion4,Criterion5,Criterion6
M1,0.18421052631578946,0.0,0.19456731204490485,0.8044847249984741,51,0.14326647564469913
M2,0.10389610389610389,0.0,0.10521632743854967,0.8135340809822083,22,0.03868194842406877
M3,0.20869565217391303,0.0,0.19982755804722788,0.8169005513191223,19,0.09742120343839542
M4,0.11764705882352941,0.0,0.12176894672059081,0.8198166489601135,14,0.050143266475644696
M5,0.1830065359477124,0.0,0.1936581189979661,0.8062164783477783,53,0.14613180515759314
