Alternative,Criterion1,Criterion2,Criterion3,Criterion4,Criterion5,Criterion6
M1,0.05714285714285714,0.0,0.08080808080808081,0.7987456917762756,59,0.10080645161290322
M2,0.03076923076923077,0.0,0.048661800486618,0.8107172846794128,14,0.02721774193548387
M3,0.07766990291262137,0.0,0.08830022075055188,0.8076813817024231,27,0.06854838709677419
M4,0.0273972602739726,0.0,0.05952380952380952,0.8158091902732849,6,0.03528225806451613
M5,0.05673758865248227,0.0,0.09036144578313253,0.8006281852722168,61,0.1028225806451613
