Alternative,Criterion1,Criterion2,Criterion3,Criterion4,Criterion5,Criterion6
M1,0.06711409395973154,0.0,0.07142857142857142,0.7919393181800842,52,0.13351134846461948
M2,0.027027027027027025,0.0,0.027472527472527472,0.8044893145561218,21,0.036048064085447265
M3,0.08928571428571429,0.0,0.09353741496598639,0.8031798601150513,20,0.09078771695594126
M4,0.024390243902439025,0.0,0.02702702702702703,0.8101140856742859,13,0.04672897196261682
M5,0.06666666666666667,0.0,0.07898894154818326,0.793986439704895,54,0.13618157543391188
